dimension,subgroup,model,metric,estimate,lower_95_ci,upper_95_ci,bootstrap_replicates
Gender,Gender = 1,Ridge Logistic Regression,calibration_in_the_large,-0.6347498308234689,-0.8401940727481833,-0.44995449335945503,1000
Gender,Gender = 1,Ridge Logistic Regression,calibration_slope,0.5348464757795468,0.25953683083536483,0.7897161669612272,1000
Gender,Gender = 1,Elastic-Net Logistic Regression,AUROC,0.6174610724531202,0.5611993552733056,0.6754185833980216,1000
Gender,Gender = 1,Elastic-Net Logistic Regression,AUPRC,0.018504859078158443,0.012817364518678692,0.030800993953987863,1000
Gender,Gender = 1,Elastic-Net Logistic Regression,calibration_in_the_large,-0.4646897602085291,-0.6684080684851375,-0.27949723432933127,1000
Gender,Gender = 1,Elastic-Net Logistic Regression,calibration_slope,0.6269727388372802,0.34775975394536834,0.8934133513915432,1000
Gender,Gender = 1,LightGBM,AUROC,0.6649635090744237,0.6132552764514314,0.7158888751429393,1000
Gender,Gender = 1,LightGBM,AUPRC,0.022457859313164723,0.015838403706029496,0.03645739932473726,1000
Gender,Gender = 1,LightGBM,calibration_in_the_large,-0.5084792389640456,-0.7094144688078813,-0.32962214727171735,1000
Gender,Gender = 1,LightGBM,calibration_slope,1.0972546052417211,0.7876852582592012,1.3978635384086553,1000
Gender,Gender = 0,Ridge Logistic Regression,AUROC,0.6131007840378264,0.5460487711400409,0.6740186351370429,1000
Gender,Gender = 0,Ridge Logistic Regression,AUPRC,0.01591242949675893,0.010582410483933736,0.03844694364480877,1000
Gender,Gender = 0,Ridge Logistic Regression,calibration_in_the_large,-0.5542310895988983,-0.8084337257010894,-0.3498145217745788,1000
Gender,Gender = 0,Ridge Logistic Regression,calibration_slope,0.5607828047700646,0.23915118515385209,0.840416949505764,1000
Gender,Gender = 0,Elastic-Net Logistic Regression,AUROC,0.61625721764814,0.5518046270288012,0.6758382765311596,1000
Gender,Gender = 0,Elastic-Net Logistic Regression,AUPRC,0.01557129535019504,0.01069449712185466,0.03225121852122889,1000
Gender,Gender = 0,Elastic-Net Logistic Regression,calibration_in_the_large,-0.4484607446000303,-0.7015022890554155,-0.24419571193175482,1000
Gender,Gender = 0,Elastic-Net Logistic Regression,calibration_slope,0.5986128941063982,0.29142906141590585,0.8774190124551983,1000
Gender,Gender = 0,LightGBM,AUROC,0.639511354921311,0.5792523709629506,0.7002738130763226,1000
Gender,Gender = 0,LightGBM,AUPRC,0.01959867211974546,0.013286031019510727,0.03487711608759709,1000
Gender,Gender = 0,LightGBM,calibration_in_the_large,-0.5824575132928681,-0.8308324311254656,-0.38069109619938896,1000
Gender,Gender = 0,LightGBM,calibration_slope,1.0309932156695938,0.6603915979085138,1.3846929973782232,1000
ICU unit,Unit1,Ridge Logistic Regression,AUROC,0.6664974793964316,0.6014766370415922,0.7293598285649486,1000
ICU unit,Unit1,Ridge Logistic Regression,AUPRC,0.024473862707206945,0.016408875966837506,0.044031091572398914,1000
ICU unit,Unit1,Ridge Logistic Regression,calibration_in_the_large,-0.49119825945015916,-0.7418642308965876,-0.26959610223121744,1000
ICU unit,Unit1,Ridge Logistic Regression,calibration_slope,0.7712906058939442,0.4907067381613133,1.0278151065900125,1000
ICU unit,Unit1,Elastic-Net Logistic Regression,AUROC,0.6568495036217546,0.5953059635172877,0.7154709151944216,1000
ICU unit,Unit1,Elastic-Net Logistic Regression,AUPRC,0.0229259167514932,0.01576024384349414,0.03777414144500064,1000
ICU unit,Unit1,Elastic-Net Logistic Regression,calibration_in_the_large,-0.4165057349091728,-0.669211422158897,-0.19654323625794848,1000
ICU unit,Unit1,Elastic-Net Logistic Regression,calibration_slope,0.7588534507328768,0.4853433132996037,1.0264794333017813,1000
ICU unit,Unit1,LightGBM,AUROC,0.6667297534453984,0.6042260988838508,0.7268527900524474,1000
ICU unit,Unit1,LightGBM,AUPRC,0.026680558718793736,0.018252695352731635,0.04281524643005692,1000
ICU unit,Unit1,LightGBM,calibration_in_the_large,-0.49908510115036414,-0.7556447702672326,-0.27830541036753204,1000
ICU unit,Unit1,LightGBM,calibration_slope,1.0995336658437633,0.7501230970840228,1.4246825725416832,1000
ICU unit,Unit2,Ridge Logistic Regression,AUROC,0.600698777951118,0.5225084183122423,0.6737102908437537,1000
ICU unit,Unit2,Ridge Logistic Regression,AUPRC,0.014526496271341071,0.007525130457972629,0.044947043716390016,1000
ICU unit,Unit2,Ridge Logistic Regression,calibration_in_the_large,-0.9187514881897207,-1.246121805323287,-0.6780615640749089,1000
ICU unit,Unit2,Ridge Logistic Regression,calibration_slope,0.45451961947944236,0.10285913141636337,0.7805530824452758,1000
ICU unit,Unit2,Elastic-Net Logistic Regression,AUROC,0.6109724388975559,0.5318716858301258,0.6885564070306996,1000
ICU unit,Unit2,Elastic-Net Logistic Regression,AUPRC,0.016541481704340808,0.008361241154485196,0.04817155062062218,1000
ICU unit,Unit2,Elastic-Net Logistic Regression,calibration_in_the_large,-0.6272404745108227,-0.9525127351212722,-0.38527581738452754,1000
ICU unit,Unit2,Elastic-Net Logistic Regression,calibration_slope,0.5787389078691536,0.1939875807353091,0.950958605903494,1000
ICU unit,Unit2,LightGBM,AUROC,0.6870758580343214,0.6205401984318224,0.7568065852199606,1000
ICU unit,Unit2,LightGBM,AUPRC,0.02206114081674542,0.011402429903356588,0.054000539619891486,1000
ICU unit,Unit2,LightGBM,calibration_in_the_large,-0.6394613680607274,-0.9584346258364669,-0.3925744654568326,1000
ICU unit,Unit2,LightGBM,calibration_slope,1.2633545666158439,0.8131723537434267,1.7146393678322893,1000
ICU unit,Unknown,Ridge Logistic Regression,AUROC,0.5355329477879427,0.4505179910997849,0.6255953211417791,1000
ICU unit,Unknown,Ridge Logistic Regression,AUPRC,0.012268430696957936,0.008261563348644111,0.019351740528986597,1000
ICU unit,Unknown,Ridge Logistic Regression,calibration_in_the_large,-0.3782969832148858,-0.7041633737901951,-0.13621564027729893,1000
ICU unit,Unknown,Ridge Logistic Regression,calibration_slope,0.2180880082885154,-0.3275244791606671,0.6398984435558638,1000
ICU unit,Unknown,Elastic-Net Logistic Regression,AUROC,0.5441798617533773,0.46319534567251275,0.6251748788801951,1000
ICU unit,Unknown,Elastic-Net Logistic Regression,AUPRC,0.011794663954945023,0.008235031261011971,0.02120111213600859,1000
ICU unit,Unknown,Elastic-Net Logistic Regression,calibration_in_the_large,-0.33615724638573324,-0.6617760741907749,-0.09328627627858337,1000
ICU unit,Unknown,Elastic-Net Logistic Regression,calibration_slope,0.24712996634233383,-0.24458767981860627,0.6585201244478601,1000
ICU unit,Unknown,LightGBM,AUROC,0.569784458583585,0.4914029250060304,0.6501348123735692,1000
ICU unit,Unknown,LightGBM,AUPRC,0.013706793343600506,0.009095472802313686,0.024423483908635243,1000
ICU unit,Unknown,LightGBM,calibration_in_the_large,-0.5063114456338819,-0.8366863386650819,-0.2668337759608502,1000
ICU unit,Unknown,LightGBM,calibration_slope,0.6174055772334938,-0.010607249026660643,1.1761000049326618,1000
